作品编号,作品名称,BGM中文标题,BGM日文标题,角色,网易云id
TH06,东方红魔乡,妖魔夜行,妖魔夜行,露米娅,22636719
TH06,东方红魔乡,Lunate Elf,ルーネイトエルフ,大妖精,22636721
TH06,东方红魔乡,活泼的纯情小姑娘,おてんば恋娘,琪露诺,22636718
TH06,东方红魔乡,上海红茶馆 ～ Chinese Tea,上海红茶馆　~ Chinese Tea,红美铃,22636730
TH06,东方红魔乡,明治十七年的上海爱丽丝,明治十七年の上海アリス,红美铃,22636722
TH06,东方红魔乡,巴瓦鲁魔法图书馆,ヴワル魔法図書館,小恶魔,22636724
TH06,东方红魔乡,Locked Girl ～ 少女密室,ラクトガール ～ 少女密室,帕秋莉·诺蕾姬,22636720
TH06,东方红魔乡,女仆与血之怀表,メイドと血の懐中時計,十六夜咲夜,22636732
TH06,东方红魔乡,月时计 ～ Luna Dial,月時計 ～ ルナ・ダイアル,十六夜咲夜,22636725
TH06,东方红魔乡,献给已逝公主的七重奏,亡き王女の為のセプテット,蕾米莉亚·斯卡蕾特,22636723
TH06,东方红魔乡,U.N.OWEN就是她吗？,U.N.オーエンは彼女なのか？,芙兰朵露·斯卡蕾特,22636729
TH07,东方妖妖梦,Crystallize Silver,クリスタライズシルバー,蕾蒂·霍瓦特洛克,22636707
TH07,东方妖妖梦,凋叶棕（withered leaf）,ティアオイエツォン(withered leaf),橙,22636702
TH07,东方妖妖梦,布加勒斯特的人偶师,ブクレシュティの人形师,爱丽丝·玛格特洛依德,22636698
TH07,东方妖妖梦,人偶裁判 ～ 玩弄人形的少女,人形裁判 ～ 人の形弄びし少女,爱丽丝·玛格特洛依德,22636711
TH07,东方妖妖梦,天空的花都,天空の花の都,莉莉白,22636703
TH07,东方妖妖梦,幽灵乐团 ～ Phantom Ensemble,幽霊楽団 ～ Phantom Ensemble,普莉兹姆利巴三姐妹,22636705
TH07,东方妖妖梦,东方妖妖梦 ～ Ancient Temple,东方妖々梦 ~ Ancient Temple,魂魄妖梦,22636701
TH07,东方妖妖梦,广有射怪鸟事 ～ Till When?,広有射怪鳥事 ～ Till When？,魂魄妖梦,22636714
TH07,东方妖妖梦,幽雅地绽放吧、墨染的樱花 ～ Border of Life,幽雅に咲かせ、墨染の桜 ～ Border of Life,西行寺幽幽子,22636709
TH07,东方妖妖梦,Border of Life,ボーダーオブライフ,西行寺幽幽子,22636704
TH07,东方妖妖梦,少女幻葬 ～ Necro-Fantasy,少女幻葬 ～ Necro-Fantasy,八云蓝,22636710
TH07,东方妖妖梦,Necro-Fantasia,ネクロファンタジア,八云紫,22636708
TH07.5,东方萃梦想,御伽之国的鬼岛 ～ Missing Power,御伽の国の鬼が島 ～ Missing Power,伊吹萃香,22766006
TH08,东方永夜抄,蠢蠢的秋月 ～ Mooned Insect,蠢々秋月 ～ Mooned Insect,莉格露·奈特巴格,22636686
TH08,东方永夜抄,已经只能听见歌声了,もう歌しか聞こえない,米斯蒂娅·萝蕾拉,22636681
TH08,东方永夜抄,Plain Asia,プレインエイジア,上白泽慧音,22636690
TH08,东方永夜抄,少女绮想曲 ～ Dream Battle,少女綺想曲 ～ Dream Battle,博丽灵梦,22636684
TH08,东方永夜抄,恋色Master spark,恋色マスタースパーク,雾雨魔理沙,22636680
TH08,东方永夜抄,灰姑娘的笼子 ～ Kagome-Kagome,シンデレラケージ ～ Kagome-Kagome,因幡帝,22636693
TH08,东方永夜抄,狂气之瞳 ～ Invisible Full Moon,狂気の瞳 ～ Invisible Full Moon,铃仙·优昙华院·因幡,22636685
TH08,东方永夜抄,千年幻想乡 ～ History of the Moon,千年幻想郷 ～ History of the Moon,八意永琳,22636683
TH08,东方永夜抄,竹取飞翔 ～ Lunatic Princess,竹取飛翔 ～ Lunatic Princess,蓬莱山辉夜,22636695
TH08,东方永夜抄,Voyage1970,ヴォヤージュ1970,蓬莱山辉夜,22636689
TH08,东方永夜抄,飘上月球、不死之烟,月まで届け、不死の煙,藤原妹红,22636687
